,Unnamed: 0,entity_cn,country,entity_en
0,0,林国荣创意科技大学,Cambodia,Lim kok wing university of creative technology
1,1,西方大学,Cambodia,Western university
2,2,金边皇家大学,Cambodia,Phnom penh royal university
3,3,外国语学院,Cambodia,Foreign language school
4,4,皇家法律与经济大学,Cambodia,Royal university of law and economics
5,5,国家管理大学,Cambodia,National university of management
6,6,皇家艺术大学,Cambodia,Royal university of fine arts
7,7,皇家农业大学,Cambodia,Royal university of agriculture
8,8,柬埔寨理工学院,Cambodia,Institute of technology of cambodia
9,9,卫生科学大学,Cambodia,University of health sciences
10,10,皇家科学院,Cambodia,Royal academy of cambodia
11,11,皇家行政学院,Cambodia,Royal academy of administration
12,12,金边美国大学,Cambodia,American university of phnom penh
13,13,柬埔寨大学,Cambodia,University of cambodia
14,14,诺顿大学,Cambodia,Norton university
15,15,亚欧大学,Cambodia,Asia euro university
16,16,贝尔泰国际大学,Cambodia,Beltei international university
17,17,CamEd商学院 ,Cambodia,Camed school of business
18,18,扎曼大学 ,Cambodia,Zaman university
19,19,智慧大学,Cambodia,Wisdom university
20,20,普蒂萨大学,Cambodia,Putisa university
21,21,湄公大学,Cambodia,Mekong university
22,22,万达学院,Cambodia,Wanda college
23,23,光明大学,Cambodia,Gwangmyeong university
24,24,杜威国际大学,Cambodia,Dewey international university
25,25,东南亚大学 ,Cambodia,University of southeast asia
26,26,高棉大学,Cambodia,Khmer university
27,27,金边国际大学,Cambodia,Phnom penh international university
28,28,经济与金融学院,Cambodia,School of economics and finance
29,29,生命大学,Cambodia,Life university
30,30,马德望大学,Cambodia,University of battambang
31,31,吴哥大学,Cambodia,Angkor university
32,32,柴桢大学,Cambodia,Chai university
33,33,谢辛康仔棉大学,Cambodia,Xie xin kang tsai mian university
34,34,管理与经济大学,Cambodia,University of management and economics
35,35,人力资源大学,Cambodia,Human resources university
36,36,白粒农业学院,Cambodia,Prek leap national college of agriculture
37,37,马来亚大学,Malaysia,University of malaya
38,38,马来西亚博特拉大学,Malaysia,Universiti putra malaysia
39,39,马来西亚国立大学,Malaysia,Universiti kebangsaan malaysia
40,40,马来西亚理科大学,Malaysia,University of science malaysia
41,41,马来西亚工艺大学,Malaysia,Universiti teknologi malaysia
42,42,马来西亚北方大学,Malaysia,Universiti utara malaysia
43,43,马来西亚国际伊斯兰大学,Malaysia,International islamic university malaysia
44,44,玛拉工艺大学,Malaysia,Universiti teknologi mara
45,45,马来西亚彭亨大学,Malaysia,University of malaysia pahang
46,46,马来西亚玻璃市大学,Malaysia,Universiti malaysia perlis
47,47,马来西亚沙巴大学,Malaysia,University malaysia sabah
48,48,马来西亚砂拉越大学,Malaysia,Universiti malaysia sarawak
49,49,马来西亚登嘉楼大学,Malaysia,Universiti malaysia terengganu
50,50,苏丹依德理斯教育大学,Malaysia,Universiti pendidikan sultan idris
51,51,苏丹再纳阿比丁大学,Malaysia,Universiti sultan zainal abidin
52,52,马来西亚敦胡先翁大学,Malaysia,Universiti tun hussein onn malaysia
53,53,马来西亚国防大学,Malaysia,Universiti pertahanan nasional malaysia
54,54,马来西亚伊斯兰理科大学,Malaysia,Universiti sains islam malaysia
55,55,马来西亚马六甲技术大学,Malaysia,Universiti teknikal malaysia melaka
56,56,马来西亚吉兰丹大学,Malaysia,Universiti malaysia kelantan
57,57,翁姑奥玛理工学院,Malaysia,Politeknik ungku omar
58,58,苏丹沙拉胡丁阿都阿兹沙理工学院,Malaysia,Politeknik premier sultan salahuddin abdul aziz shah 
59,59,苏丹依布拉欣理工学院,Malaysia,Sultan ibrahim institute of technology
60,60,苏丹阿末沙理工学院,Malaysia,Sultan ahmad shah institute of technology
61,61,苏丹阿都哈林理工学院,Malaysia,Sultan abdul halim institute of technology
62,62,哥打巴鲁理工学院,Malaysia,Kota bharu institute of technology
63,63,古晋理工学院,Malaysia,Kuching institute of technology
64,64,波德申理工学院,Malaysia,Port dickson institute of technology
65,65,亚庇理工学院,Malaysia,Kota kinabalu institute of technology
66,66,威省理工学院,Malaysia,Wisconsin institute of technology
67,67,马六甲理工学院,Malaysia,Melaka polytechnic
68,68,瓜拉登嘉楼理工学院,Malaysia,Kuala terengganu polytechnic
69,69,苏丹米占再纳阿比丁理工学院,Malaysia,Sultan mijanzaina abidin institute of technology
70,70,万里茂理工学院,Malaysia,Wanli mao institute of technology
71,71,苏丹阿兹兰沙理工学院,Malaysia,Sultan azlan shah institute of technology
72,72,端姑苏丹后峇希雅理工学院,Malaysia,Tuanku sultan bahia institute of technology
73,73,苏丹依德利斯沙理工学院,Malaysia,Sultan idrissa institute of technology
74,74,端姑赛西拉祖丁理工学院,Malaysia,Tuangu saihi rajudin institute of technology
75,75,姆阿占沙理工学院,Malaysia,Amazansah institute of technology
76,76,砂拉越沐胶理工学院,Malaysia,Sarawak mukah polytechnic
77,77,浮罗山背理工学院,Malaysia,Pulau pulau polytechnic
78,78,日里理工学院,Malaysia,Riri institute of technology
79,79,汝来理工学院,Malaysia,Nilai polytechnic
80,80,万津理工学院,Malaysia,Banting institute of technology
81,81,丰盛港理工学院,Malaysia,Mersing polytechnic
82,82,乌鲁登嘉楼理工学院,Malaysia,Ulu terengganu polytechnic
83,83,山打根理工学院,Malaysia,Sandakan institute of technology
84,84,敦赛纳西尔赛依斯迈理工学院,Malaysia,Dunsa nasir sai ismail institute of technology
85,85,吉隆坡都会理工学院,Malaysia,Politeknik metro kuala lumpur
86,86,关丹都会理工学院,Malaysia,Politeknik metro kuantan
87,87,新山都会理工学院,Malaysia,Politeknik metro johor bahru
88,88,木中都会理工学院,Malaysia,Politeknik metro betong
89,89,打昔汝莪都会理工学院,Malaysia,Politeknik metro tasek gelugor
90,90,泰莱大学,Malaysia,Taylor's university
91,91,思特雅大学,Malaysia,Ucsi university
92,92,国油大学,Malaysia,Universiti teknologi petronas
93,93,管理与科学大学,Malaysia,University of management and science
94,94,双威大学,Malaysia,Sunway university
95,95,国能大学,Malaysia,National university
96,96,吉隆坡大学,Malaysia,University of kuala lumpur
97,97,拉曼大学,Malaysia,Raman university
98,98,多媒体大学,Malaysia,Multimedia university
99,99,吉隆坡基建大学,Malaysia,Kuala lumpur infrastructure university
100,100,世纪大学,Malaysia,Segi university
101,101,百纳利管理与企业大学,Malaysia,Binary university of management and entrepreneurship
102,102,英迪国际大学,Malaysia,Inti international university
103,103,精英大学,Malaysia,Elite university
104,104,林国荣创意科技大学,Malaysia,Limkokwing university
105,105,国际医药大学,Malaysia,International medical university
106,106,亚太工艺与革新大学,Malaysia,Asia pacific university of technology and innovation
107,107,苏丹阿都哈林国际伊斯兰大学,Malaysia,Sultan abdul halim mu'adzam shah international islamic university
108,108,汝来国际大学,Malaysia,Nilai international university
109,109,敦阿都拉萨大学,Malaysia,Universiti tun abdul razak
110,110,雪兰莪大学,Malaysia,Selangor university
111,111,苏丹阿兹兰沙阿大学,Malaysia,Universiti sultan azlan shah
112,112,马来西亚开放大学,Malaysia,Open university malaysia
113,113,马来西亚科学与工艺大学,Malaysia,Malaysia university of science and technology
114,114,亚洲医药及科艺大学,Malaysia,Aimst university
115,115,玛莎大学,Malaysia,Malaysia mahsa university
116,116,宏愿开放大学,Malaysia,Wawasan open university
117,117,麦地那国际大学,Malaysia,International university of medina
118,118,亚洲e大学,Malaysia,Asia e university
119,119,马来西亚多元资源工业汽车大学,Malaysia,Multi-resources industrial automotive university of malaysia
120,120,奎斯特国际大学,Malaysia,Quest international university
121,121,拉曼大学学院,Malaysia,Tunku abdul rahman university college
122,122,南方大学学院,Malaysia,Southern university college
123,123,新纪元大学学院,Malaysia,New university academy
124,124,韩江传媒大学学院,Malaysia,Han chiang university college of communication
125,125,TATI大学学院,Malaysia,Tati university college
126,126,双德工艺大学,Malaysia,Shuangde university of technology
127,127,赛城医药科学大学,Malaysia,Cyberjaya university of medical sciences
128,128,万达大学学院,Malaysia,First city university college
129,129,成功大学学院,Malaysia,National cheng kung university
130,130,伯乐大学学院,Malaysia,Uow malaysia kdu university college
131,131,博特拉大学,Malaysia,Universiti putra malaysia
132,132,马来西亚国民大学,Malaysia,Universiti kebangsaan malaysia
133,133,马来西亚科技大学,Malaysia,University of science and technology malaysia
134,134,马来西亚思特雅大学,Malaysia,Ucsi university
135,135,马来西亚国油大学,Malaysia,Universiti teknologi petronas
136,136,亚太科技大学,Malaysia,Asia pacific university of technology and innovation
137,137,仰光大学,Myanmar,Yangon university
